date,inflation_yoy,rate_change,bond_yield_change,vix_ma,regime
2013-07-01,-0.5949848834618283,-0.2626383962678739,2.3284247258799646,0.9112609569552418,1
2013-08-01,-0.685994440857678,-0.2252964441918728,0.4970794358620154,0.8032810347200663,1
2013-10-01,-0.7293471430062625,-0.1506125400398708,-0.5494035870053853,0.7616556134008596,2
2013-11-01,-0.6464548723724431,-0.2252964441918728,0.2728330738190009,0.714771074330637,1
2014-04-01,-0.2432268348547417,-0.1506125400398708,-0.138285256593193,0.4636758029371698,1
2014-05-01,-0.398514076539403,-0.1879544921158718,-0.6615267680268916,0.2442471795817889,2
2014-07-01,-0.5836950402873664,-0.1879544921158718,-0.1756596502670279,0.1016913139869316,2
2014-08-01,-0.5275602186816827,-0.1879544921158718,-0.5494035870053853,0.0404840533175639,2
2014-10-01,-0.7998888220628679,-0.1879544921158718,-0.5494035870053853,-0.0168068544215377,2
2014-12-01,-0.8789316737566845,-0.0759286358878687,-0.4372804059838772,-0.0973721887609724,2
2015-04-01,-0.807029698656632,-0.1879544921158718,-1.1100194921129205,-0.1255700472427657,2
2015-05-01,-0.7013570547065524,-0.1879544921158718,0.8708233726003728,-0.2185558654684205,0
2015-06-01,-0.7590001252850967,-0.1506125400398707,0.4970794358620137,-0.2569362842539522,0
2015-07-01,-0.7883332745410315,-0.1879544921158718,-0.2504084376146994,-0.2816653531794524,0
2015-09-01,-0.9042890149156306,-0.1506125400398707,-0.6615267680268916,-0.1078904242630069,2
2015-10-01,-0.935494059262006,-0.2626383962678739,-0.4746547996577138,-0.1203109188204877,2
2015-12-01,-1.2970764951837084,0.2601489327961405,0.534453829535852,-0.3122130447619283,0
2016-02-01,-1.4303138317495758,0.3348328369481426,-1.8201329719158,-0.4777076617588223,2
2016-03-01,-1.4056271951024637,-0.2626383962678739,0.3102074674928358,-0.5863589450618496,0
2016-04-01,-1.261690312575961,-0.1506125400398707,-0.3999060123100415,-0.6473424080373384,0
2016-06-01,-1.0707498187111166,-0.1506125400398707,-0.7362755553745639,-0.6815826761987241,2
2016-07-01,-0.9076886675786872,-0.1506125400398707,-0.6241523743530559,-0.7020596956531409,2
2016-08-01,-0.8354280004215637,-0.1506125400398707,0.1233354991236579,-0.8611762171008845,0
2016-09-01,-0.8600570344544437,-0.1879544921158718,0.1607098927974929,-0.9224953766171924,0
2016-11-01,-0.8324401176438525,-0.1506125400398709,1.8051832144462652,-0.8974306111508739,0
2016-12-01,-0.7981225940988478,0.2974908848721417,1.2071929156648935,-0.9267474474307996,0
2017-02-01,-0.5079957199851778,0.2601489327961405,-0.3625316186362074,-0.9389441336231404,0
2017-03-01,-0.5617821426642045,0.2974908848721416,0.1233354991236579,-0.9704988828142874,0
2017-05-01,-0.5491822075636434,0.2601489327961405,-0.7736499490483997,-1.009326896987576,0
2017-06-01,-0.4589698410181138,0.2974908848721416,-0.5120291933315487,-1.060799182069703,0
2017-08-01,-0.4204991729070006,0.2601489327961401,-0.0261620755716849,-1.1310700572584598,0
2017-09-01,-0.3734158434260868,-0.2252964441918729,-0.1382852565931913,-1.1625129076026672,0
2017-11-01,-0.4362093811239749,-0.1506125400398707,0.4597050421881788,-1.2222655259468682,0
2017-12-01,-0.3394847463432584,0.334832836948143,0.0859611054498214,-1.242966332423901,0
2018-02-01,-0.150185354909935,0.2601489327961401,1.618311246077086,-1.2388261711284945,0
2018-03-01,-0.2406629427508074,0.1481230765681377,-0.1756596502670279,-1.1356578032703633,0
2018-05-01,-0.1908104978332667,0.5215425973281475,0.4223306485143439,-1.0870948135098326,0
2018-06-01,-0.2511737205776312,0.2601489327961409,-0.3625316186362057,-1.1270417948099931,0
2018-08-01,-0.364887192202228,0.1481230765681369,-0.1756596502670279,-1.1668768665919529,0
2018-10-01,-0.1839641955769645,0.8576201660121571,0.8708233726003711,-1.1910464626252788,0
2018-11-01,-0.2273214508267396,-0.1506125400398699,-0.2130340439408628,-1.1437143281672972,0
2019-02-01,-0.1447525313452337,0.5588845494041478,-1.7453841845681273,-1.105222010534827,2
2019-03-01,-0.1594617083043517,-0.1506125400398699,-0.5120291933315504,-1.1096978683710517,0
2019-04-01,-0.2094508089996765,-0.1506125400398716,-0.2504084376146994,-1.1397979752370306,0
2019-05-01,-0.3282068210532226,-0.2999803483438742,-0.5867779806792202,-1.3255458033232008,0
2019-07-01,-0.3328349988344976,-0.1506125400398716,-1.37164024782977,-1.4205457367661969,2
2019-08-01,-0.555669546056474,-1.1961871981678998,-1.7080097908942924,-1.3847389167614428,2
2019-10-01,-0.4014734330191421,-1.308213054395902,0.1980842864713294,-1.4006281902039557,0
2019-11-01,-0.4771963565159213,-1.2335291502439008,0.2728330738190009,-1.461052190958532,0
2020-04-01,-0.7752035309058741,-5.789247303516026,-4.398966135410462,-0.9691561073222754,2
2020-05-01,-0.9021244110955126,-0.1879544921158718,-0.0635364692455206,-0.7119065594160604,0
2020-06-01,-0.8860762501270875,-0.0759286358878687,0.1233354991236575,-0.5612941689242698,0
2020-07-01,-0.6737258884887816,-0.1506125400398708,-0.5120291933315491,-0.3802459643544194,2
2020-09-01,-0.5454207851696268,-0.1879544921158718,0.1233354991236579,-0.2388090445439118,0
2020-10-01,-0.6389738779374939,-0.1879544921158718,0.3102074674928363,-0.14772545335992,0
2020-12-01,-0.5336455352858598,-0.1879544921158718,0.4223306485143435,-0.0727549333123202,0
2021-02-01,-0.3265988224692788,-0.2252964441918728,1.1324441283172215,0.1334699142282641,1
2021-03-01,-0.2057116395354727,-0.2252964441918728,1.2071929156648935,0.2544298039130954,1
2021-04-01,-0.0075106197448471,-0.1879544921158718,0.0112123181021499,0.3352189252751469,1
2021-06-01,0.3946544740497473,-0.1506125400398708,-0.5494035870053844,0.4248478421201879,1
2021-07-01,0.462591191584547,-0.1132705879638697,-0.8483987363960703,0.4851599333565631,1
2021-09-01,1.0182235543288531,-0.2626383962678739,0.0859611054498222,0.5520739178359665,1
2021-10-01,1.4241037311711089,-0.1879544921158718,0.6839514042311933,0.6740408758007301,1
2021-11-01,1.5680381073016258,-0.1879544921158718,-0.1756596502670279,0.7297652210252019,1
2021-12-01,1.6382887209212624,-0.1879544921158718,-0.4372804059838781,0.9272621719297393,1
2022-02-01,1.8965869058274405,-0.1879544921158718,1.618311246077086,0.9215554587909645,3
2022-03-01,2.2865236988338205,0.2601489327961405,0.6465770105573575,1.1210665355841043,3
2022-04-01,2.146442681749123,0.2974908848721416,2.216301544858457,1.1901065341277888,3
2022-06-01,2.7888480358977104,3.098137290572218,1.3566904903602364,1.330424486811425,3
2022-07-01,2.572897664648792,1.5671172554561763,-0.9978963110914142,1.4949120355283867,3
2022-08-01,2.349469926099636,2.2392723928241955,-0.1009108629193564,1.534075735571233,3
2022-09-01,1.9215286139210612,0.6709104056321518,2.216301544858457,1.6394820376831076,3
2022-11-01,2.063020758658933,4.3677636611562525,1.281941703012565,1.776443088986129,3
2022-12-01,1.779406558573618,1.0069879743161605,-1.1100194921129205,1.8485043030408723,3
2023-02-01,1.7452981986702727,1.567117255456179,0.3849562548405073,1.882856470049197,3
2023-03-01,1.4600874176287195,0.1107811244921366,-0.4372804059838772,1.9558128428656716,1
2023-05-01,1.386927199297027,1.3430655430001677,-0.4372804059838789,1.9357833974564904,3
2023-06-01,0.9737337450765822,-0.113270587963868,0.5718282232096868,1.903221579985412,1
2023-08-01,0.8081996730429636,0.7455943097841539,1.4688136713817428,1.9214606758573467,3
2023-09-01,0.8393970712545608,-0.1879544921158718,0.6839514042311933,1.4294526933741507,1
2023-11-01,0.1150646836774209,-0.1879544921158718,0.3475818611666724,1.2020794653112967,1
2023-12-01,0.1930084539545969,-0.1879544921158718,-1.894881759263472,1.0275212658087975,2
2024-02-01,0.4408924796693002,-0.1879544921158718,0.6092026168835235,0.8625861323753391,1
2024-03-01,0.4480144473598415,-0.1879544921158718,-0.1009108629193564,0.7170090512694249,1
2024-04-01,0.2203881680537328,-0.1879544921158718,1.132444128317222,0.570984385447015,1
2024-05-01,0.2328850199067612,-0.1879544921158718,-0.3251572249623692,0.5107841823863178,1
2024-07-01,-0.0475197139754134,-0.1879544921158718,-0.9605219174175792,0.3091470808576346,2
2024-08-01,-0.0347560527046137,-0.1879544921158718,-1.5211378225251129,0.2558844462382615,2
2024-10-01,-0.035392087193862,-2.0550520959159235,0.7587001915788631,0.2774804328195495,1
2024-11-01,-0.0129760519196563,-0.8974515815598929,0.8708233726003745,0.3220151494603516,1
